# Constructed from biom file
feature-id	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8
7dd9c9124ec3f118a6cef1f0d422c011	0.0	0.0	224.0	386.0	140.0	0.0	0.0	0.0
01e0b7ac306895be84179f2715af269b	110.0	0.0	215.0	54.0	184.0	103.0	74.0	0.0
ee0fb26fca3afb05e0b288d6fcab899e	242.0	0.0	10.0	14.0	34.0	141.0	195.0	17.0
0a69950e803a5d9e7166c450e44f43cf	0.0	104.0	72.0	75.0	177.0	24.0	149.0	0.0
79e9e337b10e2d298bb1b3bde946782d	38.0	60.0	6.0	0.0	5.0	0.0	190.0	245.0
9118606a87ac19f8d041da20f16f3236	0.0	82.0	171.0	220.0	67.0	0.0	0.0	0.0
41fedaa9200e2933821f84ecdc0b0772	91.0	48.0	32.0	14.0	13.0	188.0	75.0	26.0
b8afb7bb30b7a9170b7c6dcd40251d54	0.0	0.0	108.0	210.0	97.0	0.0	0.0	0.0
3ef461f213bfc675ddf0b1bfeef2dc52	35.0	0.0	0.0	79.0	48.0	120.0	86.0	0.0
b3d4d129c955517b446df657236ba5a2	38.0	0.0	0.0	0.0	0.0	171.0	77.0	55.0
fc15824cd9e9c29e1319d32843452b54	79.0	40.0	21.0	27.0	24.0	35.0	29.0	67.0
f8f937eeee7762f446a0e87292f98eb6	0.0	0.0	0.0	206.0	127.0	0.0	0.0	0.0
052128d7d424728578efe7852b0afd0d	72.0	0.0	20.0	0.0	0.0	125.0	63.0	30.0
e063d1c3c9daf7390e5475e48d9b01c5	0.0	0.0	0.0	0.0	0.0	165.0	121.0	0.0
2e55763e77234a7bfc3a311067a0c7e1	0.0	0.0	0.0	0.0	196.0	73.0	0.0	0.0
3ae3e825c5e3862af6c17798e2b40a37	0.0	0.0	0.0	122.0	126.0	0.0	0.0	0.0
880968796af86b3d6270c228fe8e7026	0.0	89.0	34.0	62.0	40.0	0.0	0.0	0.0
26133b4163fdcd22d86f4e04e74154f1	0.0	0.0	40.0	67.0	136.0	0.0	0.0	0.0
29a92aecac56c855cbfc0debf9bda0c8	0.0	44.0	16.0	19.0	24.0	48.0	32.0	37.0
7a5d5e6f85da7ca91daa2d803e8f9279	0.0	62.0	74.0	58.0	35.0	0.0	0.0	0.0
acfe4c003905a7074aeaf385b78ad9e0	0.0	0.0	111.0	62.0	56.0	0.0	0.0	0.0
f59a4d48a03cc224462bf83e4d4ab126	33.0	0.0	41.0	12.0	8.0	47.0	68.0	0.0
d781fa7e866ac295ce9a56bd97912983	0.0	19.0	84.0	70.0	30.0	0.0	0.0	0.0
f91c81859bf6eede55eef9c915dd8bab	26.0	0.0	36.0	0.0	0.0	46.0	86.0	0.0
a5551fc60aa8bbaab737487552ea2a75	0.0	0.0	0.0	0.0	0.0	128.0	0.0	63.0
a4c08e2c3a34038ea877b16d01736837	35.0	28.0	0.0	0.0	0.0	51.0	55.0	7.0
21a0198d0a83a8f3ec0e401067138940	0.0	51.0	21.0	40.0	29.0	10.0	14.0	0.0
393e6e2cbe258ed27a4ca0a2ee0d2cdc	26.0	18.0	10.0	0.0	0.0	45.0	41.0	28.0
f16a387e898dbae6432b2ed0241120bd	0.0	13.0	0.0	0.0	0.0	11.0	0.0	122.0
b383ade799e9c83c649cec37705a251d	0.0	35.0	34.0	27.0	53.0	0.0	0.0	0.0
1d17561d16d803f652b0d6bdd671c1cc	25.0	34.0	26.0	23.0	0.0	0.0	0.0	43.0
3bf2fc236887eda11c969b84d30f9fbf	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
30faafef155964edd9db9374f36c45bf	15.0	0.0	19.0	52.0	36.0	0.0	27.0	0.0
ff3df50eea7490dd794148649c480fd3	26.0	0.0	0.0	0.0	26.0	64.0	30.0	0.0
3982159c2603cacc4bc4893003bda323	0.0	32.0	45.0	64.0	0.0	0.0	0.0	0.0
846cbaf603b77be035fe0cb61d14a23c	29.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
a5df9a825c3d8eeb228a6781c3db134c	18.0	8.0	25.0	0.0	7.0	53.0	32.0	0.0
145f11599b92ad3a4c93896b0edf8c0c	0.0	11.0	8.0	20.0	98.0	0.0	0.0	0.0
87899779aec8d38dfaf48d895cfe8021	0.0	0.0	58.0	50.0	29.0	0.0	0.0	0.0
d3e265209c342d15d93a910e38ad9be2	0.0	41.0	34.0	15.0	32.0	0.0	0.0	0.0
fb4f7d9d3f91ac2f22a542fbd13019c1	0.0	48.0	0.0	32.0	27.0	0.0	0.0	0.0
ed950935b660fb10449d5f229dc13fb9	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0
bb370945a6777f712cfd963c55f2ff54	19.0	0.0	21.0	18.0	13.0	22.0	14.0	0.0
59fefb91cc66ef6930b0201e4bf24cbb	17.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0
1f0a072da4906270a684a389c1586582	0.0	52.0	10.0	26.0	15.0	0.0	0.0	0.0
aa668eb01ca9dcc59aeb1454b600c8c8	0.0	0.0	109.0	3.0	0.0	0.0	0.0	0.0
5437cb1c86c72638cbbc12896f88d1b1	15.0	0.0	24.0	24.0	0.0	18.0	23.0	5.0
cba5f5b1153235425628bd77a28257c7	37.0	0.0	20.0	6.0	15.0	9.0	17.0	0.0
2fa276cce32e900f0f68d30e460b8f61	0.0	18.0	30.0	29.0	11.0	8.0	0.0	0.0
91d0b3b7c0329b9a164b6e04a181f1d6	0.0	0.0	0.0	0.0	54.0	46.0	0.0	0.0
84755bc954af6d3b39bb4c369e5992e7	0.0	0.0	55.0	19.0	25.0	0.0	0.0	0.0
4b8228f4d7d3809aa6827e8d9e11a9ae	11.0	16.0	11.0	18.0	17.0	10.0	14.0	0.0
f023384b8f989d014dd2ead7f10db307	0.0	0.0	36.0	20.0	34.0	0.0	0.0	0.0
b5bf6383b53e0add0d6589b73949462a	46.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0
136e9f5aa470119165e59d202fdb318c	16.0	20.0	0.0	0.0	0.0	19.0	38.0	0.0
465e9cab9abce306c1e0f7459b325c33	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0
77a517253ff10afeb78a37bc13d649a0	0.0	0.0	37.0	13.0	35.0	0.0	0.0	0.0
