taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
91d0b3b7c0329b9a164b6e04a181f1d6,0,FALSE,FALSE,FALSE,FALSE
84755bc954af6d3b39bb4c369e5992e7,0,FALSE,FALSE,FALSE,FALSE
4b8228f4d7d3809aa6827e8d9e11a9ae,0,FALSE,FALSE,FALSE,FALSE
f023384b8f989d014dd2ead7f10db307,0,FALSE,FALSE,FALSE,FALSE
b5bf6383b53e0add0d6589b73949462a,0,FALSE,FALSE,FALSE,FALSE
136e9f5aa470119165e59d202fdb318c,0,FALSE,FALSE,FALSE,FALSE
465e9cab9abce306c1e0f7459b325c33,0,FALSE,FALSE,FALSE,FALSE
77a517253ff10afeb78a37bc13d649a0,0,FALSE,FALSE,FALSE,FALSE
fea5c05e9b8245c5ca46f6673f59e0bf,0,FALSE,FALSE,FALSE,FALSE
ae881162d813e498f40bf33b8e42d54a,0,FALSE,FALSE,FALSE,FALSE
32875774cffdc8c820f91d8e86f9a0e6,0,FALSE,FALSE,FALSE,FALSE
868a4fe285b85fa1b8eb40071d5397be,0,FALSE,FALSE,FALSE,FALSE
201b6484b6abe3d4c587464be6cbd574,0,FALSE,FALSE,FALSE,FALSE
67f9c74eeea5a4609bd1d2fab66ad3cc,0,FALSE,FALSE,FALSE,FALSE
0c4b17f88dae47697d3bceb3663f47ce,0,FALSE,FALSE,FALSE,FALSE
fc1f49989e78fa71bc6404ff2a148576,0,FALSE,FALSE,FALSE,FALSE
919764896275058362e55f0849d2b38b,0,FALSE,FALSE,FALSE,FALSE
4b13979d719e78a50cb0eac34d72dec1,0,FALSE,FALSE,FALSE,FALSE
b8b19c4f0719a5d5b965a0f50f05827c,0,FALSE,FALSE,FALSE,FALSE
9e1c6b703a4312cce306c7757688a351,0,FALSE,FALSE,FALSE,FALSE
a0b0961c7ba318abff3e5a93f09f495e,0,FALSE,FALSE,FALSE,FALSE
24dfe6a7325e4f2be7dbd522ef613e42,0,FALSE,FALSE,FALSE,FALSE
55937e5781c91185e27a91216008e4ca,0,FALSE,FALSE,FALSE,FALSE
